what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378585161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378588219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378649100
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1556378650129
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1556378650164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378653783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378659620
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1556378659633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378659931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378660441
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1556378667110
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556378682710
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556378683626
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1556378687552
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556378702838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378704990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378706239
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1556378709426
started,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1556378709664
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556378716515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378751756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378753583
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1556378754270
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556378758221
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1556378759565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378761343
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556378762797
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556378762833
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556378762969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378763105
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1556378763111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1556378763111
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1556378766356
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556378766384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378771724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378855750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378857527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379097581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379100056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379103103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379103662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379103680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379103687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379295981
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556379302034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.restartWorkbench",1556379302666
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1556379302742
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1556379302744
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1556379302745
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1556379302746
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1556379302758
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1556379302759
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1556379302761
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1556379302761
stopped,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1556379302761
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,23.0.7.2120684,"overlay.com.android.ide.eclipse.adt.overlay",1556379302762
stopped,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1556379302870
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1556379302872
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1556379302875
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1556379302877
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1556379302894
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1556379302915
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1556379302915
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1556379302922
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1556379302938
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1556379302966
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1556379302967
